listing_no,title,price,sqm,rooms,address
120,"
                ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER EINZIEHEN UND AUFLEBEN IM WOHNGARTEN
            ","
                    Miete€ 889,42
                ","
                    Wohnfläche53 m²
                ","
                        Zimmer 2
                    ",1110 Wien
120,"
                ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER: Wohnen im grünen Herz Simmerings
            ","
                    Miete€ 1.350,00
                ","
                    Wohnfläche73 m²
                ","
                        Zimmer 2
                    ",1110 Wien
120,"
                ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER - AUFFLEBEN IM WOHNGARTEN
            ","
                    Miete€ 898,00
                ","
                    Wohnfläche55 m²
                ","
                        Zimmer 2
                    ",1110 Wien
120,"
                ERSTER MONAT MIETZINSFREI - ERSTBEZUG in Simmering - PROVISIONSFREI FÜR DEN MIETER
            ","
                    Miete€ 802,00
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER EINZIEHEN UND AUFLEBEN IM WOHNGARTEN
            ","
                    Miete€ 796,83
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - Provisionsfrei für den Mieter AUFFLEBEN IM WOHNGARTEN
            ","
                    Miete€ 798,17
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - PROVISIONSFREI FÜR DEN MIETER EINZIEHEN UND AUFLEBEN IM WOHNGARTEN
            ","
                    Miete€ 910,00
                ","
                    Wohnfläche56 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - Schönes Zusammenleben im Grünen ERSTBEZUG in Simmering
            ","
                    Miete€ 1.048,00
                ","
                    Wohnfläche70 m²
                ","
                        Zimmer 1
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - Traumhafte Erstbezugswohnung - PROVISIONSFREI FÜR DEN MIETER
            ","
                    Miete€ 769,00
                ","
                    Wohnfläche49 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - Traumhafte Erstbezugswohnung - PROVISIONSFREI FÜR DEN MIETER
            ","
                    Miete€ 866,00
                ","
                    Wohnfläche53 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                ERSTER MONAT MIETZINSFREI - Schönes Zusammenleben im Grünen ERSTBEZUG in Simmering
            ","
                    Miete€ 770,00
                ","
                    Wohnfläche49 m²
                ","
                        Zimmer 2
                    ",1110 Wien
121,"
                BRIGITTE NOW PROVISIONSFREI - moderner Neubau/Erstbezug Nähe U-Bahn
            ","
                    Miete€ 1.175,00
                ","
                    Wohnfläche65 m²
                ","
                        Zimmer 3
                    ",1200 Wien
121,"
                BRIGITTE NOW PROVISIONSFREI - moderner Neubau/Erstbezug Nähe U-Bahn
            ","
                    Miete€ 799,01
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1200 Wien
121,"
                BRIGITTE NOW PROVISIONSFREI - moderner Neubau/Erstbezug Nähe U-Bahn
            ","
                    Miete€ 775,00
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1200 Wien
121,"
                BRIGITTE NOW PROVISIONSFREI - moderner Neubau/Erstbezug Nähe U-Bahn
            ","
                    Miete€ 1.349,00
                ","
                    Wohnfläche77 m²
                ","
                        Zimmer 3
                    ",1200 Wien
121,"
                2-Zimmer-Wohnung mit Balkon in Grün-Ruhelage nahe der Donau - PELLETSHEIZUNG
            ","
                    Miete€ 991,68
                ","
                    Wohnfläche57 m²
                ","
                        Zimmer 2
                    ",1190 Wien
121,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-42
            ","
                    Miete€ 734,49
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
121,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Terrassen und Kellerabteil / K2-41
            ","
                    Miete€ 734,60
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
121,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-40
            ","
                    Miete€ 734,51
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-39
            ","
                    Miete€ 734,60
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Außenfläche und Kellerabteil / K2-38
            ","
                    Miete€ 734,51
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-37
            ","
                    Miete€ 734,54
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Markenküche, Außenfläche und Kellerabteil / K2-36
            ","
                    Miete€ 754,75
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Markenküche, Außenfläche und Kellerabteil / K2-34
            ","
                    Miete€ 754,61
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-33
            ","
                    Miete€ 754,61
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-31
            ","
                    Miete€ 735,16
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Markenküche, Außenfläche und Kellerabteil / K2-30
            ","
                    Miete€ 734,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Markenküche, Terrasse und Kellerabteil / K2-29
            ","
                    Miete€ 734,39
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-28
            ","
                    Miete€ 734,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-27
            ","
                    Miete€ 734,39
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-26
            ","
                    Miete€ 735,30
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-25
            ","
                    Miete€ 744,87
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-23
            ","
                    Miete€ 744,35
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
122,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-22
            ","
                    Miete€ 744,35
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon und Kellerabteil / K2-21
            ","
                    Miete€ 744,42
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-20
            ","
                    Miete€ 734,39
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-19
            ","
                    Miete€ 734,69
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-17
            ","
                    Miete€ 734,69
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-16
            ","
                    Miete€ 734,69
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-15
            ","
                    Miete€ 734,70
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon Außenfläche und Kellerabteil / K2-14
            ","
                    Miete€ 744,45
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-12
            ","
                    Miete€ 744,35
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-11
            ","
                    Miete€ 744,35
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-10
            ","
                    Miete€ 744,44
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-05
            ","
                    Miete€ 705,00
                ","
                    Wohnfläche43 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer Neubau Gartenwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-02
            ","
                    Miete€ 804,60
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                AKTION! PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug Neubau Gartenwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K2-01
            ","
                    Miete€ 834,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Dachterrassenwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-68
            ","
                    Miete€ 824,53
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
123,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-65
            ","
                    Miete€ 764,45
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-64
            ","
                    Miete€ 794,70
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-63
            ","
                    Miete€ 794,84
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Balkon und Kellerabteil / K3-61
            ","
                    Miete€ 774,48
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-59
            ","
                    Miete€ 754,53
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-57
            ","
                    Miete€ 764,57
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-55
            ","
                    Miete€ 784,72
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Außenfläche und Kellerabteil / K3-54
            ","
                    Miete€ 794,89
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-53
            ","
                    Miete€ 794,69
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-52
            ","
                    Miete€ 764,74
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon und Kellerabteil / K3-51
            ","
                    Miete€ 764,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon Außenfläche und Kellerabteil / K3-50
            ","
                    Miete€ 764,38
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-49
            ","
                    Miete€ 744,36
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-48
            ","
                    Miete€ 764,75
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-47
            ","
                    Miete€ 764,48
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
124,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug Neubauwohnung inkl Markenküche, Außenfläche und Kellerabteil / K3-45
            ","
                    Miete€ 754,88
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-44
            ","
                    Miete€ 784,62
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-43
            ","
                    Miete€ 784,72
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Küche, Außenfläche und Kellerabteil / K3-42
            ","
                    Miete€ 754,63
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-41
            ","
                    Miete€ 754,79
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-40
            ","
                    Miete€ 754,73
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-39
            ","
                    Miete€ 734,17
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-38
            ","
                    Miete€ 754,58
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-37
            ","
                    Miete€ 754,63
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-35
            ","
                    Miete€ 764,89
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon Außenfläche und Kellerabteil / K3-34
            ","
                    Miete€ 774,65
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-31
            ","
                    Miete€ 744,61
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-30
            ","
                    Miete€ 744,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Außenfläche und Kellerabteil / K3-29
            ","
                    Miete€ 723,99
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, 28m Terrassen Außenfläche und Kellerabteil / K3-25
            ","
                    Miete€ 804,86
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
125,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, 18m Terrasse und Balkon Außenfläche und Kellerabteil / K3-24
            ","
                    Miete€ 784,44
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon Außenfläche und Kellerabteil / K3-23
            ","
                    Miete€ 744,74
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, 30m Terrassenfläche und Kellerabteil / K3-22
            ","
                    Miete€ 804,80
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Markenküche, Balkon und Kellerabteil / K3-21
            ","
                    Miete€ 744,61
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-20
            ","
                    Miete€ 744,55
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Balkon Außenfläche und Kellerabteil / K3-17
            ","
                    Miete€ 734,43
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Geräumige Erstbezug 2-Zimmer-Wohnung Neubau inkl Markenküche, Außenfläche und Kellerabteil / K3-14
            ","
                    Miete€ 734,76
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Wohnung inkl Markenküche, Balkon Außenfläche und Kellerabteil / K3-13
            ","
                    Miete€ 734,58
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl Küche, Balkon Außenfläche und Kellerabteil / K3-12
            ","
                    Miete€ 734,74
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer-Neubauwohnung inkl hochwertiger Markenküche, Außenfläche und Kellerabteil / K3-09
            ","
                    Miete€ 734,49
                ","
                    Wohnfläche43 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                PROVISIONFREI UND 2 MONATE MIETFREI - Erstbezug 2-Zimmer Neubau Gartenwohnung inkl Markenküche, Außenfläche und Kellerabteil / K3-02
            ","
                    Miete€ 804,75
                ","
                    Wohnfläche43 m²
                ","
                        Zimmer 2
                    ",1220 Wien
126,"
                Zweizimmerwohnung mit südseitigem Balkon nächst Grinzinger Allee und Kaasgrabengasse!
            ","
                    Miete€ 825,07
                ","
                    Wohnfläche51 m²
                ","
                        Zimmer 2
                    ",1190 Wien
126,"
                *** MITTEN IN DER STADT *** 78,54 m² 2-Zimmer Wohnung - RUHELAGE - 1080 Wien ***
            ","
                    Miete€ 759,62
                ","
                    Wohnfläche79 m²
                ","
                        Zimmer 2
                    ","1080 Wien 8.,Josefstadt"
126,"
                **ALL INCLUSIVE - APARTMENT**
            ","
                    Miete€ 895,00
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ","1210 Wien 21.,Floridsdorf"
126,"
                PROVISIONSFREI - SCHÖPFL ECK NEU AM MARKT FLORIDSDORF BAHNHOF FLORIDSDORFER WASSERPARK
            ","
                    Miete€ 849,00
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1210 Wien
126,"
                PROVISIONSFREI - SCHÖPFL ECK NEU AM MARKT FLORIDSDORF BAHNHOF FLORIDSDORFER WASSERPARK
            ","
                    Miete€ 725,00
                ","
                    Wohnfläche36 m²
                ","
                        Zimmer 1
                    ",1210 Wien
127,"
                PROVISIONSFREI - SCHÖPFL ECK NEU AM MARKT FLORIDSDORF BAHNHOF FLORIDSDORFER WASSERPARK
            ","
                    Miete€ 899,00
                ","
                    Wohnfläche48 m²
                ","
                        Zimmer 2
                    ",1210 Wien
127,"
                PROVISIONSFREI - SCHÖPFL ECK NEU AM MARKT FLORIDSDORF BAHNHOF FLORIDSDORFER WASSERPARK
            ","
                    Miete€ 875,01
                ","
                    Wohnfläche49 m²
                ","
                        Zimmer 1
                    ",1210 Wien
127,"
                PROVISIONSFREI - SCHÖPFL ECK NEU AM MARKT FLORIDSDORF BAHNHOF FLORIDSDORFER WASSERPARK
            ","
                    Miete€ 975,00
                ","
                    Wohnfläche54 m²
                ","
                        Zimmer 2
                    ",1210 Wien
127,"
                Erstbezugstraum nahe U1 modernes Wohngebiet Unschlagbares Angebot: Provisionsfrei + 2 Monate Mietzinsfrei
            ","
                    Miete€ 799,96
                ","
                    Wohnfläche46 m²
                ","
                        Zimmer 2
                    ",1220 Wien
127,"
                Erstbezugstraum nahe U1 modernes Wohngebiet Unschlagbares Angebot: Provisionsfrei + 2 Monate Mietzinsfrei
            ","
                    Miete€ 799,96
                ","
                    Wohnfläche46 m²
                ","
                        Zimmer 2
                    ",1220 Wien
127,"
                2-Zimmer-Wohnung mit Balkon und Terrasse in Niedrigenergiehaus - Erstbezug - zu mieten in 1160 Wien
            ","
                    Miete€ 999,01
                ","
                    Wohnfläche56 m²
                ","
                        Zimmer 2
                    ",1160 Wien
127,"
                ***NEUBAU-ERSTBEZUG*** Moderne Raumaufteilung und perfekte Anbindung
            ","
                    Miete€ 850,00
                ","
                    Wohnfläche44 m²
                ","
                        Zimmer 2
                    ",1120 Wien
