listing_no,title,price,sqm,rooms,address
2,"
                4167 - Charmante Garconniere INKL. Heizung
            ","
                    Miete€ 550,00
                ","
                    Wohnfläche25 m²
                ","
                        Zimmer 1
                    ",1130 Wien
2,"
                VIDEO: Schöne und helle 2-Zimmer-Wohnung mit Pauschalmiete!
            ","
                    Miete€ 729,00
                ","
                    Wohnfläche54 m²
                ","
                        Zimmer 2
                    ",1170 Wien
2,"
                2 Zi NB-Wohnung mit toller Aufteilung - gleich bei U4 !!
            ","
                    Miete€ 699,00
                ","
                    Wohnfläche40 m²
                ","
                        Zimmer 2
                    ",1200 Wien
2,"
                NEU! ++ TOP RENOVIERTE KLASSISCHE ALTBAUWOHNUNG in perfekter Zentrumslage nahe Karlskirche Miete in 1040 Wien++
            ","
                    Miete€ 1.950,01
                ","
                    Wohnfläche109 m²
                ","
                        Zimmer 3
                    ",1040 Wien
3,"
                VIDEO: Helle, 3er-WG-geeignete Wohnung mit Gemeinschaftsgarten!
            ","
                    Miete€ 990,00
                ","
                    Wohnfläche85 m²
                ","
                        Zimmer 3
                    ",1220 Wien
3,"
                Hirschstettner Badeteich: NEUBAU ERSTBEZUG: 2 Zimmer mit Balkon: Vermietung auf 10 Jahren!
            ","
                    Miete€ 749,00
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1220 Wien
3,"
                PROVISIONSFREIE sonnige 2-Zimmer Wohnung, Schweidlgasse 30, 1020 Wien - Top 1.48
            ","
                    Miete€ 924,70
                ","
                    Wohnfläche49 m²
                ","
                        Zimmer 2
                    ",1020 Wien
3,"
                ** WOHNEN IM GRÜNEN, BARANY & ME, PROVISIONSFREI, freifinanzierte Mietwohnung, ERSTBEZUG **
            ","
                    Miete€ 1.383,72
                ","
                    Wohnfläche86 m²
                ","
                        Zimmer 3
                    ",1220 Wien
3,"
                BARANY & ME, frei finanzierte Miete, Baranygasse 7, 1220 Wien
            ","
                    Miete€ 1.699,00
                ","
                    Wohnfläche103 m²
                ","
                        Zimmer 4
                    ",1220 Wien
3,"
                BARANY & ME, frei finanzierte Miete, Baranygasse 7, 1220 Wien
            ","
                    Miete€ 1.399,00
                ","
                    Wohnfläche86 m²
                ","
                        Zimmer 3
                    ",1220 Wien
3,"
                KENNEDY GARDEN LAVANDULA, gemütliche 2 Zimmer mit Küche und Loggia
            ","
                    Miete€ 922,00
                ","
                    Wohnfläche53 m²
                ","
                        Zimmer 2
                    ",1140 Wien
3,"
                2-Zimmer - Wohnung mit Balkon Degengasse 15/9
            ","
                    Miete€ 725,67
                ","
                    Wohnfläche55 m²
                ","
                        Zimmer 2
                    ",1160 Wien
3,"
                Ab Mai | 2-Zimmer-Neubauwohnung | Nahe U4 Friedensbrücke (WE20210)
            ","
                    Miete€ 699,00
                ","
                    Wohnfläche40 m²
                ","
                        Zimmer 2
                    ",1200 Wien
3,"
                HELLE 2-Zimmer Mietwohnung mit Loggia in Reinlgasse, straßenseitig!
            ","
                    Miete€ 702,52
                ","
                    Wohnfläche41 m²
                ","
                        Zimmer 2
                    ",1140 Wien
3,"
                Luxuriose 2-Zimmer Terrassentraum zur Miete im 23. Bz inkl. Fitnessraum und Garagenplatz im Haus!
            ","
                    Miete€ 950,00
                ","
                    Wohnfläche54 m²
                ","
                        Zimmer 2
                    ",1230 Wien
3,"
                Altbaujuwel in Jugendstilvilla
            ","
                    Miete€ 2.746,74
                ","
                    Wohnfläche156 m²
                ","
                        Zimmer 4
                    ",1130 Wien
3,"
                Dachgeschoss: großzügige 2 Zimmer nähe Schottenring in 1010 Wien zu mieten
            ","
                    Miete€ 1.468,42
                ","
                    Wohnfläche82 m²
                ","
                        Zimmer 2
                    ",1010 Wien
3,"
                Helle 2 Zimmer-Wohnung (NB) in der Lorystraße
            ","
                    Miete€ 665,05
                ","
                    Wohnfläche45 m²
                ","
                        Zimmer 2
                    ",1110 Wien
3,"
                Freifläche - Lichtdurchflutet - Stauraum
            ","
                    Miete€ 790,70
                ","
                    Wohnfläche56 m²
                ","
                        Zimmer 2
                    ",1110 Wien
4,"
                Unbefristet - Freifläche - Wohntraum
            ","
                    Miete€ 793,33
                ","
                    Wohnfläche56 m²
                ","
                        Zimmer 2
                    ",1110 Wien
4,"
                Schöne Wohnung 3 Zimmer
            ","
                    Miete€ 600,00
                ","
                    Wohnfläche89 m²
                ","
                        Zimmer 3
                    ",1030 Wien
4,"
                2 Zimmer mit Freifläche auf beiden Seiten!
            ","
                    Miete€ 956,42
                ","
                    Wohnfläche50 m²
                ","
                        Zimmer 2
                    ",1230 Wien
4,"
                NEU! ++TOP RENOVIERTE ALTBAUWOHNUNG in wunderschönem historischen Zinshaus Nähe Landstrasser Hauptstrasse Miete in 1030 Wien++
            ","
                    Miete€ 3.992,69
                ","
                    Wohnfläche223 m²
                ","
                        Zimmer 6
                    ",1030 Wien
4,"
                NEU! ++ TOP RENOVIERTE WOHNUNG mit Klopfbalkon in perfekter Zentrumslage nahe Stephansplatz Miete in 1010 Wien++
            ","
                    Miete€ 2.851,84
                ","
                    Wohnfläche155 m²
                ","
                        Zimmer 4
                    ",1010 Wien
4,"
                SCHLOSSPARK HETZENDORF| 108 m WOHNUNG | 2 ZIMMER | WOHNKÜCHE UND DACHZIMMER MIT KLIMAANLAGE |
            ","
                    Miete€ 1.199,77
                ","
                    Wohnfläche109 m²
                ","
                        Zimmer 3
                    ",1120 Wien
4,"
                + 2 ZIMMER + MÖBLIERT + TOP SANIERT
            ","
                    Miete€ 899,00
                ","
                    Wohnfläche51 m²
                ","
                        Zimmer 2
                    ",1160 Wien
4,"
                Klassische Altbau Wohnung 4,5 Zimmer Büro/Atelier möglich!
            ","
                    Miete€ 1.380,00
                ","
                    Wohnfläche145 m²
                ","
                        Zimmer 4
                    ",1030 Wien
4,"
                ALL INKLUSIVE: KURZZEITMIETE: *** APARTMENT MIT PANORAMAWEITBLICK ***
            ","
                    Miete€ 1.200,00
                ","
                    Wohnfläche50 m²
                ","
                        Zimmer 1
                    ",1220 Wien
4,"
                Familien Wohnung mit 4 Zimmer
            ","
                    Miete€ 980,00
                ","
                    Wohnfläche108 m²
                ","
                        Zimmer 3
                    ",1030 Wien
4,"
                IDEALE kleine 2 Zimmer Neubauwohnung - tolle Aufteilung - gleich bei U4 Friedensbrücke !!
            ","
                    Miete€ 699,00
                ","
                    Wohnfläche38 m²
                ","
                        Zimmer 2
                    ",1200 Wien
4,"
                Ruhiger 50m Altbau mit 2 Zimmern und Lift - 1070 Wien
            ","
                    Miete€ 542,34
                ","
                    Wohnfläche50 m²
                ","
                        Zimmer 2
                    ",1070 Wien
4,"
                Musik-Universität: Sonniger Altbau-Erstbezug mit 3 getrennt begehbaren Zimmern
            ","
                    Miete€ 1.490,23
                ","
                    Wohnfläche114 m²
                ","
                        Zimmer 3
                    ","1030 Wien,Landstraße"
4,"
                Unbefristete 47m EG-Wohnung mit 2 Zimmern Nähe Reumannplatz - 1100 Wien
            ","
                    Miete€ 530,61
                ","
                    Wohnfläche47 m²
                ","
                        Zimmer 2
                    ",1100 Wien
4,"
                Unbefristeter 51m Altbau mit Einbauküche in Ruhelage - 1150 Wien
            ","
                    Miete€ 695,00
                ","
                    Wohnfläche51 m²
                ","
                        Zimmer 2
                    ",1150 Wien
5,"
                Sonnige Hofruhelage im 9. Stock (Dachgeschoss mit Fernblick/Loggia) | ZELLMANN IMMOBILIEN
            ","
                    Miete€ 914,29
                ","
                    Wohnfläche50 m²
                ","
                        Zimmer 1
                    ",1190 Wien
5,"
                Dachgeschoß Loft mit 51 m2 zu vermieten! Nähe U3 Karl-Nagl-Platz!
            ","
                    Miete€ 949,50
                ","
                    Wohnfläche51 m²
                ","
                        Zimmer 2
                    ","1030 Wien,Landstraße"
5,"
                Dachgeschoß, Neubau, eine Wohnküche/Schlafzimmer + Balkon
            ","
                    Miete€ 600,00
                ","
                    Wohnfläche36 m²
                ","
                        Zimmer 1
                    ",1100 Wien
5,"
                Duplex Wohnung, Großzügig Zentral 4 Zimmer + Terrasse
            ","
                    Miete€ 3.100,00
                ","
                    Wohnfläche183 m²
                ","
                        Zimmer 4
                    ",1020 Wien
5,"
                Schicke Dachwohnung mit Terrasse und Loggia in revitalisiertem Stilatlbau!
            ","
                    Miete€ 869,21
                ","
                    Wohnfläche46 m²
                ","
                        Zimmer 2
                    ",1140 Wien
5,"
                SONNIGE 2-ZIMMER WOHNUNG MIT BALKON NÄHE U1! - Schleiergasse 2
            ","
                    Miete€ 780,00
                ","
                    Wohnfläche46 m²
                ","
                        Zimmer 2
                    ",1100 Wien
5,"
                DIE DREI BELLAS IN DER BILLROTHSTRASSE
            ","
                    Miete€ 968,70
                ","
                    Wohnfläche70 m²
                ","
                        Zimmer 2
                    ",1190 Wien
5,"
                3-ZIMMER WOHNUNG MIT LOGGIA IN DER WOHNHAUSANLAGE SCHLEIERGASSE
            ","
                    Miete€ 990,00
                ","
                    Wohnfläche68 m²
                ","
                        Zimmer 3
                    ",1100 Wien
5,"
                SONNIGE DG-WOHNUNG MIT TERRASSE!
            ","
                    Miete€ 888,00
                ","
                    Wohnfläche42 m²
                ","
                        Zimmer 2
                    ",1140 Wien
5,"
                Helle 2-Zimmer Wohnung, Nähe Währinger Schubertpark
            ","
                    Miete€ 712,49
                ","
                    Wohnfläche46 m²
                ","
                        Zimmer 2
                    ",1180 Wien
5,"
                Leben Sie lieber außergewöhnlich! Einzigartige 3-Zimmer-Wohnung mit großartigem Fernblick im 8. Liftstock im Gasometer B
            ","
                    Miete€ 999,00
                ","
                    Wohnfläche90 m²
                ","
                        Zimmer 3
                    ",1110 Wien
